GEOID,NAME,variable,estimate,moe
30,Montana,B27010_019,178910,4796
30,Montana,B27010_026,15965,2602
30,Montana,B27010_033,32211,3147
30,Montana,B27010_034,414097,2750
30,Montana,B27010_035,325402,4555
30,Montana,B27010_042,44483,3410
30,Montana,B27010_050,44212,3777
30,Montana,B27010_051,226639,1307
30,Montana,B27010_052,84223,3616
30,Montana,B27010_058,141582,3840
30,Montana,B27010_066,834,380
31,Nebraska,B27010_002,503721,2705
31,Nebraska,B27010_003,444864,6037
31,Nebraska,B27010_010,40299,5018
31,Nebraska,B27010_017,18558,2980
31,Nebraska,B27010_018,412693,4133
31,Nebraska,B27010_019,334577,5565
31,Nebraska,B27010_026,30202,3260
31,Nebraska,B27010_033,47914,3884
31,Nebraska,B27010_034,705490,3837
31,Nebraska,B27010_035,584564,7846
31,Nebraska,B27010_042,70012,5324
31,Nebraska,B27010_050,50914,4524
31,Nebraska,B27010_051,329827,2039
31,Nebraska,B27010_052,126082,4487
31,Nebraska,B27010_058,201649,4879
31,Nebraska,B27010_066,2096,990
32,Nevada,B27010_002,722316,2687
32,Nevada,B27010_003,594817,11176
32,Nevada,B27010_010,70172,8989
32,Nevada,B27010_017,57327,7447
32,Nevada,B27010_018,654953,4153
32,Nevada,B27010_019,483434,8561
32,Nevada,B27010_026,59131,6229
32,Nevada,B27010_033,112388,7033
32,Nevada,B27010_034,1226656,3211
32,Nevada,B27010_035,930651,11255
32,Nevada,B27010_042,133087,8775
32,Nevada,B27010_050,162918,7848
32,Nevada,B27010_051,550102,1997
32,Nevada,B27010_052,244149,7366
32,Nevada,B27010_058,297950,7174
32,Nevada,B27010_066,8003,2035
33,New Hampshire,B27010_002,269074,2007
33,New Hampshire,B27010_003,242567,4686
33,New Hampshire,B27010_010,17430,3461
33,New Hampshire,B27010_017,9077,2442
33,New Hampshire,B27010_018,275341,2801
33,New Hampshire,B27010_019,237432,4157
33,New Hampshire,B27010_026,14623,2127
33,New Hampshire,B27010_033,23286,2709
33,New Hampshire,B27010_034,560560,2638
33,New Hampshire,B27010_035,486948,5249
33,New Hampshire,B27010_042,40953,3702
33,New Hampshire,B27010_050,32659,3790
33,New Hampshire,B27010_051,281041,1636
33,New Hampshire,B27010_052,108791,4974
33,New Hampshire,B27010_058,171657,4793
33,New Hampshire,B27010_066,593,404
34,New Jersey,B27010_002,2125438,5339
34,New Jersey,B27010_003,1923453,11310
34,New Jersey,B27010_010,114249,8841
34,New Jersey,B27010_017,87736,6903
34,New Jersey,B27010_018,1816402,6120
34,New Jersey,B27010_019,1513710,11180
34,New Jersey,B27010_026,82500,5181
34,New Jersey,B27010_033,220192,9322
34,New Jersey,B27010_034,3650954,3949
34,New Jersey,B27010_035,3080291,16518
34,New Jersey,B27010_042,235883,8998
34,New Jersey,B27010_050,334780,12288
34,New Jersey,B27010_051,1611343,1797
34,New Jersey,B27010_052,617641,12298
34,New Jersey,B27010_058,974547,12282
34,New Jersey,B27010_066,19155,2802
35,New Mexico,B27010_002,478110,3759
35,New Mexico,B27010_003,405203,7072
35,New Mexico,B27010_010,44515,5564
35,New Mexico,B27010_017,28392,4113
35,New Mexico,B27010_018,422767,5348
35,New Mexico,B27010_019,323614,7162
35,New Mexico,B27010_026,35932,3824
35,New Mexico,B27010_033,63221,5435
35,New Mexico,B27010_034,758409,4805
35,New Mexico,B27010_035,574545,9559
35,New Mexico,B27010_042,90551,5894
35,New Mexico,B27010_050,93313,5883
35,New Mexico,B27010_051,417170,2135
35,New Mexico,B27010_052,143406,5803
35,New Mexico,B27010_058,270090,5912
35,New Mexico,B27010_066,3674,1118
36,New York,B27010_002,4203173,8686
36,New York,B27010_003,3685132,23825
36,New York,B27010_010,398390,17672
36,New York,B27010_017,119651,9151
36,New York,B27010_018,4171921,9616
36,New York,B27010_019,3542436,18165
36,New York,B27010_026,293815,12644
36,New York,B27010_033,335670,13683
36,New York,B27010_034,7458314,5806
36,New York,B27010_035,6312708,19511
36,New York,B27010_042,689289,17194
36,New York,B27010_050,456317,14371
36,New York,B27010_051,3538997,3820
36,New York,B27010_052,1144358,18330
36,New York,B27010_058,2367962,19015
36,New York,B27010_066,26677,2948
37,North Carolina,B27010_002,2462267,6584
37,North Carolina,B27010_003,2155607,16224
37,North Carolina,B27010_010,178052,10939
37,North Carolina,B27010_017,128608,10477
37,North Carolina,B27010_018,2219508,10269
37,North Carolina,B27010_019,1710952,16678
37,North Carolina,B27010_026,169658,9221
37,North Carolina,B27010_033,338898,11927
37,North Carolina,B27010_034,4065970,9411
37,North Carolina,B27010_035,3147165,19456
37,North Carolina,B27010_042,420022,13029
37,North Carolina,B27010_050,498783,16302
37,North Carolina,B27010_051,1875463,4516
37,North Carolina,B27010_052,721308,14442
37,North Carolina,B27010_058,1139821,14398
37,North Carolina,B27010_066,14334,2146
38,North Dakota,B27010_002,190450,3106
38,North Dakota,B27010_003,167318,3940
38,North Dakota,B27010_010,16304,2758
38,North Dakota,B27010_017,6828,1425
38,North Dakota,B27010_018,179393,3536
38,North Dakota,B27010_019,150615,3794
38,North Dakota,B27010_026,15001,2564
38,North Dakota,B27010_033,13777,2678
38,North Dakota,B27010_034,266769,3134
38,North Dakota,B27010_035,228350,4097
38,North Dakota,B27010_042,25178,2592
38,North Dakota,B27010_050,13241,2068
38,North Dakota,B27010_051,126926,1439
38,North Dakota,B27010_052,34827,2724
38,North Dakota,B27010_058,91579,3010
38,North Dakota,B27010_066,520,302
39,Ohio,B27010_002,2731679,7328
39,Ohio,B27010_003,2394710,14937
39,Ohio,B27010_010,201774,11502
39,Ohio,B27010_017,135195,9706
39,Ohio,B27010_018,2392178,9070
39,Ohio,B27010_019,1966903,14091
39,Ohio,B27010_026,161251,8875
39,Ohio,B27010_033,264024,10698
39,Ohio,B27010_034,4351230,6368
39,Ohio,B27010_035,3657071,13894
39,Ohio,B27010_042,392018,11202
39,Ohio,B27010_050,302141,10098
39,Ohio,B27010_051,2141054,4011
39,Ohio,B27010_052,869486,12557
39,Ohio,B27010_058,1260315,12396
39,Ohio,B27010_066,11253,1558
40,Oklahoma,B27010_002,1027030,2396
40,Oklahoma,B27010_003,862770,7380
40,Oklahoma,B27010_010,87432,5762
40,Oklahoma,B27010_017,76828,4952
40,Oklahoma,B27010_018,849923,4298
40,Oklahoma,B27010_019,622906,7981
40,Oklahoma,B27010_026,59258,3683
40,Oklahoma,B27010_033,167759,6419
40,Oklahoma,B27010_034,1433557,4177
40,Oklahoma,B27010_035,1073867,10415
40,Oklahoma,B27010_042,158704,6182
40,Oklahoma,B27010_050,200986,6853
40,Oklahoma,B27010_051,656586,1835
40,Oklahoma,B27010_052,237669,5301
40,Oklahoma,B27010_058,414060,5214
40,Oklahoma,B27010_066,4857,1111
41,Oregon,B27010_002,877018,4049
41,Oregon,B27010_003,777109,9367
41,Oregon,B27010_010,73638,6251
41,Oregon,B27010_017,26271,4093
41,Oregon,B27010_018,885646,6085
41,Oregon,B27010_019,730245,8986
41,Oregon,B27010_026,66508,5292
41,Oregon,B27010_033,88893,5805
41,Oregon,B27010_034,1615770,5072
41,Oregon,B27010_035,1358926,11610
41,Oregon,B27010_042,145163,7648
41,Oregon,B27010_050,111681,7200
41,Oregon,B27010_051,814591,2290
41,Oregon,B27010_052,307496,7261
41,Oregon,B27010_058,503644,7292
41,Oregon,B27010_066,3451,1145
42,Pennsylvania,B27010_002,2807524,6830
42,Pennsylvania,B27010_003,2399968,17347
42,Pennsylvania,B27010_010,260689,11647
42,Pennsylvania,B27010_017,146867,11522
42,Pennsylvania,B27010_018,2596634,7795
42,Pennsylvania,B27010_019,2169469,14898
42,Pennsylvania,B27010_026,179783,9037
42,Pennsylvania,B27010_033,247382,10108
42,Pennsylvania,B27010_034,4859268,5591
42,Pennsylvania,B27010_035,4111444,19196
42,Pennsylvania,B27010_042,465381,12776
42,Pennsylvania,B27010_050,282443,11232
42,Pennsylvania,B27010_051,2515961,2884
42,Pennsylvania,B27010_052,888525,13824
42,Pennsylvania,B27010_058,1611723,13316
42,Pennsylvania,B27010_066,15713,2739
44,Rhode Island,B27010_002,220785,2161
44,Rhode Island,B27010_003,189090,5898
44,Rhode Island,B27010_010,24511,4884
44,Rhode Island,B27010_017,7184,2451
44,Rhode Island,B27010_018,237852,3250
44,Rhode Island,B27010_019,200795,5120
44,Rhode Island,B27010_026,18916,3278
44,Rhode Island,B27010_033,18141,3645
44,Rhode Island,B27010_034,416298,2379
44,Rhode Island,B27010_035,348421,5327
44,Rhode Island,B27010_042,46366,4502
44,Rhode Island,B27010_050,21511,2791
44,Rhode Island,B27010_051,204802,1817
44,Rhode Island,B27010_052,78156,4232
44,Rhode Island,B27010_058,125054,4726
44,Rhode Island,B27010_066,1592,854
45,South Carolina,B27010_002,1214304,4925
45,South Carolina,B27010_003,1036819,11590
45,South Carolina,B27010_010,103273,8345
45,South Carolina,B27010_017,74212,7204
45,South Carolina,B27010_018,1041346,6888
45,South Carolina,B27010_019,784908,12107
45,South Carolina,B27010_026,85254,6681
45,South Carolina,B27010_033,171184,8405
45,South Carolina,B27010_034,2002939,6184
45,South Carolina,B27010_035,1528077,11610
45,South Carolina,B27010_042,245575,8998
45,South Carolina,B27010_050,229287,9051
45,South Carolina,B27010_051,1017625,2856
45,South Carolina,B27010_052,359183,9085
45,South Carolina,B27010_058,652955,9414
45,South Carolina,B27010_066,5487,1486
46,South Dakota,B27010_002,232993,2221
46,South Dakota,B27010_003,199174,4110
46,South Dakota,B27010_010,17441,2403
46,South Dakota,B27010_017,16378,3044
46,South Dakota,B27010_018,179313,2639
46,South Dakota,B27010_019,139937,4015
46,South Dakota,B27010_026,13364,1747
46,South Dakota,B27010_033,26012,2903
46,South Dakota,B27010_034,325918,2653
46,South Dakota,B27010_035,261158,4761
46,South Dakota,B27010_042,33553,3201
46,South Dakota,B27010_050,31207,2691
46,South Dakota,B27010_051,162040,1328
46,South Dakota,B27010_052,55439,3337
46,South Dakota,B27010_058,105819,3346
46,South Dakota,B27010_066,782,505
47,Tennessee,B27010_002,1645032,6420
47,Tennessee,B27010_003,1420603,14251
47,Tennessee,B27010_010,131574,9290
47,Tennessee,B27010_017,92855,9062
47,Tennessee,B27010_018,1495217,9361
47,Tennessee,B27010_019,1162066,12281
47,Tennessee,B27010_026,99248,6380
47,Tennessee,B27010_033,233903,10139
47,Tennessee,B27010_034,2671622,6603
47,Tennessee,B27010_035,2087193,16981
47,Tennessee,B27010_042,264088,10476
47,Tennessee,B27010_050,320341,13002
47,Tennessee,B27010_051,1221349,4216
47,Tennessee,B27010_052,488054,12505
47,Tennessee,B27010_058,725931,12517
47,Tennessee,B27010_066,7364,1556
48,Texas,B27010_002,7949408,10695
48,Texas,B27010_003,6544931,33493
48,Texas,B27010_010,461939,15862
48,Texas,B27010_017,942538,27789
48,Texas,B27010_018,6710643,16117
48,Texas,B27010_019,4586605,33633
48,Texas,B27010_026,371899,14344
48,Texas,B27010_033,1752139,27489
48,Texas,B27010_034,11256142,11899
48,Texas,B27010_035,8171623,36808
48,Texas,B27010_042,941968,19383
48,Texas,B27010_050,2142551,26782
48,Texas,B27010_051,4104283,6081
48,Texas,B27010_052,1772000,20852
48,Texas,B27010_058,2252473,22030
48,Texas,B27010_066,79810,5172
49,Utah,B27010_002,989401,3520
49,Utah,B27010_003,861836,9488
49,Utah,B27010_010,61925,6411
49,Utah,B27010_017,65640,6749
49,Utah,B27010_018,837233,4760
49,Utah,B27010_019,689376,7980
49,Utah,B27010_026,54686,4865
49,Utah,B27010_033,93171,7268
49,Utah,B27010_034,1154287,3407
49,Utah,B27010_035,965691,8373
49,Utah,B27010_042,79643,4941
49,Utah,B27010_050,108953,6590
49,Utah,B27010_051,410460,1782
49,Utah,B27010_052,180268,5019
49,Utah,B27010_058,227675,5235
49,Utah,B27010_066,2517,975
50,Vermont,B27010_002,123995,1932
50,Vermont,B27010_003,113904,2575
50,Vermont,B27010_010,7548,1580
50,Vermont,B27010_017,2543,944
50,Vermont,B27010_018,127675,2154
50,Vermont,B27010_019,109798,2382
50,Vermont,B27010_026,9197,1523
50,Vermont,B27010_033,8680,1658
50,Vermont,B27010_034,249960,1347
50,Vermont,B27010_035,217252,2916
50,Vermont,B27010_042,22571,2138
50,Vermont,B27010_050,10137,1701
50,Vermont,B27010_051,140434,1026
50,Vermont,B27010_052,46472,2497
50,Vermont,B27010_058,93641,2650
50,Vermont,B27010_066,321,236
51,Virginia,B27010_002,1997126,7457
51,Virginia,B27010_003,1728509,13942
51,Virginia,B27010_010,177032,11826
51,Virginia,B27010_017,91585,8366
51,Virginia,B27010_018,1735350,10096
51,Virginia,B27010_019,1409109,12549
51,Virginia,B27010_026,133552,9077
51,Virginia,B27010_033,192689,8589
51,Virginia,B27010_034,3290523,8416
51,Virginia,B27010_035,2688139,13937
51,Virginia,B27010_042,355946,11472
51,Virginia,B27010_050,246438,10633
51,Virginia,B27010_051,1466258,3882
51,Virginia,B27010_052,515838,10881
51,Virginia,B27010_058,937653,10969
51,Virginia,B27010_066,12767,2285
53,Washington,B27010_002,1741764,5278
53,Washington,B27010_003,1540809,11388
53,Washington,B27010_010,143204,8785
53,Washington,B27010_017,57751,7078
53,Washington,B27010_018,1677252,6958
53,Washington,B27010_019,1390084,11536
53,Washington,B27010_026,118154,6882
53,Washington,B27010_033,169014,8733
53,Washington,B27010_034,2960486,5721
53,Washington,B27010_035,2451154,15198
53,Washington,B27010_042,264561,10075
53,Washington,B27010_050,244771,10001
53,Washington,B27010_051,1314425,2641
53,Washington,B27010_052,494132,9865
53,Washington,B27010_058,810766,9614
53,Washington,B27010_066,9527,1763
54,West Virginia,B27010_002,375941,3133
54,West Virginia,B27010_003,332739,5371
54,West Virginia,B27010_010,31784,3955
54,West Virginia,B27010_017,11418,2391
54,West Virginia,B27010_018,331649,3705
54,West Virginia,B27010_019,267025,5151
54,West Virginia,B27010_026,27431,3019
54,West Virginia,B27010_033,37193,3497
54,West Virginia,B27010_034,657365,3354
54,West Virginia,B27010_035,524144,7503
54,West Virginia,B27010_042,80023,5942
54,West Virginia,B27010_050,53198,4470
54,West Virginia,B27010_051,371185,1559
54,West Virginia,B27010_052,123770,5941
54,West Virginia,B27010_058,246507,6028
54,West Virginia,B27010_066,908,486
55,Wisconsin,B27010_002,1325166,4851
55,Wisconsin,B27010_003,1151044,8839
55,Wisconsin,B27010_010,119884,6143
55,Wisconsin,B27010_017,54238,5349
55,Wisconsin,B27010_018,1197673,6130
55,Wisconsin,B27010_019,998411,8918
55,Wisconsin,B27010_026,94415,6007
55,Wisconsin,B27010_033,104847,5884
55,Wisconsin,B27010_034,2221149,4954
55,Wisconsin,B27010_035,1896971,11146
55,Wisconsin,B27010_042,203833,8941
55,Wisconsin,B27010_050,120345,6280
55,Wisconsin,B27010_051,1107279,2922
55,Wisconsin,B27010_052,425839,7358
55,Wisconsin,B27010_058,676706,7453
55,Wisconsin,B27010_066,4734,1125
56,Wyoming,B27010_002,136561,1784
56,Wyoming,B27010_003,114591,3570
56,Wyoming,B27010_010,12121,2503
56,Wyoming,B27010_017,9849,2788
56,Wyoming,B27010_018,115854,2470
56,Wyoming,B27010_019,83998,3568
56,Wyoming,B27010_026,8789,1572
56,Wyoming,B27010_033,23067,3140
56,Wyoming,B27010_034,211603,2225
56,Wyoming,B27010_035,163213,3651
56,Wyoming,B27010_042,20370,2146
56,Wyoming,B27010_050,28020,2985
56,Wyoming,B27010_051,109728,1143
56,Wyoming,B27010_052,40678,2998
56,Wyoming,B27010_058,68866,2981
56,Wyoming,B27010_066,184,176
72,Puerto Rico,B27010_002,542201,3056
72,Puerto Rico,B27010_003,507510,5312
72,Puerto Rico,B27010_010,22630,3279
72,Puerto Rico,B27010_017,12061,2341
72,Puerto Rico,B27010_018,656859,6063
72,Puerto Rico,B27010_019,580635,7755
72,Puerto Rico,B27010_026,19611,3235
72,Puerto Rico,B27010_033,56613,5854
72,Puerto Rico,B27010_034,1217717,5519
72,Puerto Rico,B27010_035,1019985,8974
72,Puerto Rico,B27010_042,105312,7566
72,Puerto Rico,B27010_050,92420,5358
72,Puerto Rico,B27010_051,763843,382
72,Puerto Rico,B27010_052,303737,7735
72,Puerto Rico,B27010_058,454084,7681
72,Puerto Rico,B27010_066,6022,1287
